本編	名詞,一般,*,*,*,*,本編,ホンペン,ホンペン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
主人公	名詞,一般,*,*,*,*,主人公,シュジンコウ,シュジンコー
[	名詞,サ変接続,*,*,*,*,*
編集	名詞,サ変接続,*,*,*,*,編集,ヘンシュウ,ヘンシュー
]	名詞,サ変接続,*,*,*,*,*
EOS
クリス	名詞,固有名詞,人名,名,*,*,クリス,クリス,クリス
・	記号,一般,*,*,*,*,・,・,・
レッド	名詞,一般,*,*,*,*,レッド,レッド,レッド
フィールド	名詞,一般,*,*,*,*,フィールド,フィールド,フィールド
(	名詞,サ変接続,*,*,*,*,*
Chris	名詞,一般,*,*,*,*,*
Redfield	名詞,一般,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
EOS
年齢	名詞,一般,*,*,*,*,年齢,ネンレイ,ネンレイ
：	記号,一般,*,*,*,*,：,：,：
25	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
『	記号,括弧開,*,*,*,*,『,『,『
1	名詞,数,*,*,*,*,*
』&『	名詞,サ変接続,*,*,*,*,*
CV	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
1998	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
→	記号,一般,*,*,*,*,→,→,→
30	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
『	記号,括弧開,*,*,*,*,『,『,『
UC	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
2003	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
→	記号,一般,*,*,*,*,→,→,→
31	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
『	記号,括弧開,*,*,*,*,『,『,『
RV	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
2005	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
→	記号,一般,*,*,*,*,→,→,→
32	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
『	記号,括弧開,*,*,*,*,『,『,『
5	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
2006	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
→	記号,一般,*,*,*,*,→,→,→
35	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
『	記号,括弧開,*,*,*,*,『,『,『
5	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
2009	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
→	記号,一般,*,*,*,*,→,→,→
38	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
『	記号,括弧開,*,*,*,*,『,『,『
MD	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
2012	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
→	記号,一般,*,*,*,*,→,→,→
39	名詞,数,*,*,*,*,*
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ
『	記号,括弧開,*,*,*,*,『,『,『
6	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
当時	名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
声	名詞,一般,*,*,*,*,声,コエ,コエ
：	記号,一般,*,*,*,*,：,：,：
Scott	名詞,固有名詞,組織,*,*,*,*
McCulloch	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
『	記号,括弧開,*,*,*,*,『,『,『
1	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
オリジナル	名詞,一般,*,*,*,*,オリジナル,オリジナル,オリジナル
版	名詞,接尾,一般,*,*,*,版,バン,バン
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
井上	名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ
和彦	名詞,固有名詞,人名,名,*,*,和彦,カズヒコ,カズヒコ
（	記号,括弧開,*,*,*,*,（,（,（
『	記号,括弧開,*,*,*,*,『,『,『
1	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
DC	名詞,固有名詞,組織,*,*,*,*
DS	名詞,一般,*,*,*,*,*
ver	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
コンプリートディスク	名詞,一般,*,*,*,*,*
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ
吹き替え	名詞,一般,*,*,*,*,吹き替え,フキカエ,フキカエ
版	名詞,接尾,一般,*,*,*,版,バン,バン
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
ジョー	名詞,固有名詞,人名,名,*,*,ジョー,ジョー,ジョー
・	記号,一般,*,*,*,*,・,・,・
ホワイト	名詞,一般,*,*,*,*,ホワイト,ホワイト,ホワイト
（	記号,括弧開,*,*,*,*,（,（,（
『	記号,括弧開,*,*,*,*,『,『,『
1	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
リメイク	名詞,一般,*,*,*,*,*
版	名詞,接尾,一般,*,*,*,版,バン,バン
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
マイケル	名詞,固有名詞,人名,名,*,*,マイケル,マイケル,マイケル
・	記号,一般,*,*,*,*,・,・,・
フィリポウィッチ	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
『	記号,括弧開,*,*,*,*,『,『,『
CV	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
）	記号,括弧閉,*,*,*,*,）,）,）
、	記号,読点,*,*,*,*,、,、,、
ロジャー	名詞,固有名詞,一般,*,*,*,ロジャー,ロジャー,ロジャー
・	記号,一般,*,*,*,*,・,・,・
クレイグ	名詞,固有名詞,人名,名,*,*,クレイグ,クレイグ,クレイグ
・	記号,一般,*,*,*,*,・,・,・
スミス	名詞,固有名詞,人名,姓,*,*,スミス,スミス,スミス
（	記号,括弧開,*,*,*,*,（,（,（
『	記号,括弧開,*,*,*,*,『,『,『
5	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
『	記号,括弧開,*,*,*,*,『,『,『
DC	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
『	記号,括弧開,*,*,*,*,『,『,『
MVC	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
『	記号,括弧開,*,*,*,*,『,『,『
UMVC	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
『	記号,括弧開,*,*,*,*,『,『,『
RV	名詞,固有名詞,組織,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
『	記号,括弧開,*,*,*,*,『,『,『
6	名詞,数,*,*,*,*,*
』	記号,括弧閉,*,*,*,*,』,』,』
）	記号,括弧閉,*,*,*,*,）,）,）
EOS
映画	名詞,一般,*,*,*,*,映画,エイガ,エイガ
版	名詞,接尾,一般,*,*,*,版,バン,バン
俳優	名詞,一般,*,*,*,*,俳優,ハイユウ,ハイユー
：	記号,一般,*,*,*,*,：,：,：
ウェントワース・ミラー	名詞,一般,*,*,*,*,*
（	記号,括弧開,*,*,*,*,（,（,（
『	記号,括弧開,*,*,*,*,『,『,『
