Acute	respiratory
respiratory	distress
distress	syndrome
syndrome	(ARDS)
(ARDS)	and
and	acute
acute	lung
lung	injury
injury	(ALI)
(ALI)	are
are	conditions
conditions	associated
associated	with
with	an
an	estimated
estimated	mortality
mortality	of
of	40–50%.
The	use
use	of
of	inhaled
inhaled	vasodilators
vasodilators	can
can	help
help	to
to	improve
improve	oxygenation
oxygenation	without
without	hemodynamic
hemodynamic	effects.
This	article
article	reviews
reviews	relevant
relevant	studies
studies	addressing
addressing	the
the	safety
safety	and
and	efficacy
efficacy	of
of	inhaled
inhaled	nitric
nitric	oxide
oxide	(iNO)
(iNO)	and
and	aerosolized
aerosolized	epoprostenol
epoprostenol	(aEPO)
(aEPO)	in
in	the
the	treatment
treatment	of
of	life-threatening
life-threatening	hypoxemia
hypoxemia	associated
associated	with
with	ARDS
ARDS	and
and	ALI.
In	addition,
addition,	the
the	article
article	also
also	provides
provides	a
a	practicable
practicable	guide
guide	to
to	the
the	clinical
clinical	application
application	of
of	these
these	therapies.
Nine	prospective
prospective	randomized
randomized	controlled
controlled	trials
trials	were
were	included
included	for
for	iNO
iNO	reporting
reporting	on
on	changes
changes	in
in	oxygenation
oxygenation	or
or	clinical
clinical	outcomes.
Seven	reports
reports	of
of	aEPO
aEPO	were
were	examined
examined	for
for	changes
changes	in
in	oxygenation.
Based	on
on	currently
currently	available
available	data,
data,	the
the	use
use	of
of	either
either	iNO
iNO	or
or	aEPO
aEPO	is
is	safe
safe	to
to	use
use	in
in	patients
patients	with
with	ALI
ALI	or
or	ARDS
ARDS	to
to	transiently
transiently	improve
improve	oxygenation.
No	differences
differences	have
have	been
been	observed
observed	in
in	survival,
survival,	ventilator-free
ventilator-free	days,
days,	or
or	attenuation
attenuation	in
in	disease
disease	severity.
Further	studies
studies	with
with	consistent
consistent	end
end	points
points	using
using	standard
standard	delivery
delivery	devices
devices	and
and	standard
standard	modes
modes	of
of	mechanical
mechanical	ventilation
ventilation	are
are	needed
needed	to
to	determine
determine	the
the	overall
overall	benefit
benefit	with
with	iNO
iNO	or
or	aEPO.
